sponsorcode,sponsorname,locationcode,locationname,address1,address2,city,provinceshort,province,postalcode,lat,long
LAWT,LAWTONS,122,AMHERST,101-16 LAWRENCE ST,?,AMHERST,NS,Nova Scotia,B4H3G5,45.83277,-64.21357
NSLC,NOVA SCOTIA LIQUOR,2348,PICTOU,31 WEAVER ROAD,UNIT 3,PICTOU,NS,Nova Scotia,B0K1H0,45.67992,-62.72692
LCBO,LCBO,136,Minden,SOUTH WATER STREET,?,MINDEN,ON,Ontario,K0M2K0,44.930214,-78.720414
SHEL,SHELL CANADA,2018,St Jacques De Leeds,?,?,?,QC,Quebec,?,46.291909,-71.335202
UNIS,AUTO PLUS AUTO PART PLUS,8022,PARRY SOUND AUTOPART,74 PARRY SOUND DR,?,PARRY SOUND,ON,Ontario,P2A0B8,45.36891,-80.04538
GMCL,GENERAL MOTORS,F056,ELLIS CH B G,"HIGHWAY 303, CONWAY",P.O. BOX 1299,DIGBY,NS,Nova Scotia,B0V1A0,44.60305,-65.770224
GMCL,GENERAL MOTORS,C246,POWELL MOTORS,804 MAIN ST. E. & 7TH AVENUE,P.O. BOX 910,SWAN RIVER,MB,Manitoba,R0L1Z0,52.10606,-101.26587
GMCL,GENERAL MOTORS,G575,C GIGNAC AUTOMOBILES,"1070, BOUL. DUCHARME",?,LA TUQUE,QC,Quebec,G9X3C4,47.421003,-72.785028
DEMF,DAOUST & MICHEL FORGET,D090,ST-SAUVEUR D-90,224-D CH. DU LAC MILLETTE,?,ST-SAUVEUR-DES-MONTS,QC,Quebec,J0R1R3,45.89144,-74.1525
RN15,RO-NA HARDWARE,620,RONA 92 2ND STREET,92 2ND STREET,?,LAC DU BONNET,MB,Manitoba,R0E1A0,50.25723,-96.06098
LCBO,LCBO,28,Dunnville,222 BROAD STREET EAST,?,DUNNVILLE,ON,Ontario,N1A1G2,42.903413,-79.615087
2,BMO BANK OF MONTREAL,646,BMO BANK OF MONTREAL,9910 100TH AVE,?,HIGH LEVEL,AB,Alberta,T0H1Z0,58.518327,-117.131062
SBYA,SOBEYS INC,552,CLARENVILLE,69 MANITOBA DR,SUITE 101,CLARENVILLE,NL,Newfoundland & Labrador,A5A1K3,48.16323,-53.98129
SHEL,SHELL CANADA,1F86,Whitney ON,HWY 60,?,WHITNEY,ON,Ontario,K0J2M0,45.493406,-78.238752
19,FOUNTAIN TIRE,78,FOUNTAIN TIRE F078,202 - 1 ST NORTH,?,VULCAN,AB,Alberta,T0L2B0,50.40454,-113.26326
NSLL,NOVA SCOTIA LIQUOR,2590,WEST PUBNICO,16 ABBOTT HARBOUR ROAD,?,WEST PUBNICO,NS,Nova Scotia,B0W3S0,43.66138,-65.80059
2,BMO BANK OF MONTREAL,671,BMO BANK OF MONTREAL,422 10TH ST,?,WAINWRIGHT,AB,Alberta,T9W1P5,52.836057,-110.858449
2,BMO BANK OF MONTREAL,567,BMO BANK OF MONTREAL,61 FRONT ST,?,SIOUX LOOKOUT,ON,Ontario,P8T1B1,50.098087,-91.916484
PJCQ,JEAN COUTU,179,RAWDON,"3285, 1E AVENUE",?,RAWDON,QC,Quebec,J0K1S0,46.038722,-73.697963
